"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","Local radio","No","Right direction","Always","Republicans","Strongly support","Strongly oppose","Undecided","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","Local radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Cable news","Yes","Wrong track","Rarely","Republicans","Undecided","Oppose","Strongly support","Strongly support","A great deal","Yes","Increased my motivation to vote","No","0","0","0","0","1","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Word of mouth","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","In between","Sometimes","Republicans","Strongly oppose","Strongly support","Strongly support","Strongly support","Somewhat","Yes","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Cable news","Yes","No opinion","Don't know / No opinion","Neither is committed","Support","Support","Strongly oppose",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Word of mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Newspapers","No","No opinion","Rarely","Neither is committed","Support","Strongly support","Support","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","0","1","0","0","0","0","1","0","0","0","Donald Trump","Approve"
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Cable news","Yes","In between","Rarely","Republicans","Oppose","Strongly support","Undecided","Undecided","Not at all","No","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Cable news","No","In between","Sometimes","Democrats","Undecided","Support","Support","Support","Somewhat","Don't know / No opinion","Slightly increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","No","Wrong track",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","No","No opinion","Don't know / No opinion","Democrats","Support","Strongly support","Strongly support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Newspapers","Yes","Right direction","Rarely","Neither is committed","Undecided","Support","Strongly support","Strongly support","Somewhat","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","Local TV news","No","Wrong track","Never","Don't know / No opinion","Strongly support","Strongly support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","Cable news","Yes","Wrong track","Rarely","Democrats","Strongly oppose","Strongly support","Strongly support","Support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","No","Right direction","Sometimes","Republicans","Strongly support","Strongly oppose","Strongly support","Strongly support","A great deal","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Cable news","Yes","In between","Sometimes","Democrats","Strongly oppose","Strongly support","Undecided","Strongly support","Not at all","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","Right direction","Rarely","Don't know / No opinion","Oppose","Support","Strongly support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Word of mouth","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","Yes","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Undecided","Undecided","Undecided","Not sure","Don't know / No opinion","No impact",NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","In between","Never","Neither is committed","Support","Support","Support","Strongly support","Somewhat","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
